No --seed given; using freshly-generated seed=1202305597 (saved to runs/qwen3-8b/run_meta.json -- pass --seed 1202305597 to reproduce, or just resume against this same --out-dir).
[1/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=4 -- ok
[2/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=3 -- ok
[3/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=2 -- ok
[4/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=7 -- ok
[5/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=0 -- ok
[6/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=1 -- ok
[7/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=6 -- ok
[8/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=8 -- ok
[9/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=5 -- ok
[10/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=1 -- ok
[11/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=0 -- ok
[12/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=3 -- ok
[13/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=2 -- ok
[14/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=literal persona_context=same rep=9 -- ok
[15/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=7 -- ok
[16/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=8 -- ok
[17/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=0 -- ok
[18/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=5 -- ok
[19/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=4 -- ok
[20/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cooperator framing=story persona_context=same rep=6 -- ok
[21/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=1 -- ok
[22/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=2 -- ok
[23/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=5 -- ok
[24/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=3 -- ok
[25/400 pending, 400 total] model=qwen/qwen3-8b persona=baseline opponent=cheater framing=literal persona_context=same rep=7 -- ok
