No --seed given; using freshly-generated seed=769518776 (saved to runs/gemini-2.5-flash/run_meta.json -- pass --seed 769518776 to reproduce, or just resume against this same --out-dir).
[1/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=4 -- ok
[2/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=1 -- ok
[3/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=5 -- ok
[4/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=2 -- ok
[5/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=0 -- ok
[6/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=7 -- ok
[7/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=6 -- ok
[8/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=3 -- ok
[9/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=8 -- ok
[10/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=literal persona_context=same rep=9 -- ok
[11/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=1 -- ok
[12/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=0 -- ok
[13/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=2 -- ok
[14/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=4 -- ok
[15/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=5 -- ok
[16/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=8 -- ok
[17/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=6 -- ok
[18/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=3 -- ok
[19/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=7 -- ok
[20/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cooperator framing=story persona_context=same rep=9 -- ok
[21/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=4 -- ok
[22/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=0 -- ok
[23/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=5 -- ok
[24/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=6 -- ok
[25/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=3 -- ok
[26/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=1 -- ok
[27/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=2 -- ok
[28/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=7 -- ok
[29/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=8 -- ok
[30/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=2 -- ok
[31/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=1 -- ok
[32/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=0 -- ok
[33/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=3 -- ok
[34/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=literal persona_context=same rep=9 -- ok
[35/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=5 -- ok
[36/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=7 -- ok
[37/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=4 -- ok
[38/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=6 -- ok
[39/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=8 -- ok
[40/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=0 -- ok
[41/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=2 -- ok
[42/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=1 -- ok
[43/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=cheater framing=story persona_context=same rep=9 -- ok
[44/400 pending, 400 total] model=google/gemini-2.5-flash persona=baseline opponent=copycat framing=literal persona_context=same rep=3 -- ok
